,tmpc,mean_load,min_load,max_load
2017-05-22,12.378750000000002,12568.425833333333,9492.65,14457.72
2017-05-23,15.724166666666667,12366.200416666667,9790.13,14195.13
2017-05-24,17.335416666666667,12510.3125,9773.95,14124.99
2017-05-25,12.785000000000002,12585.1875,9505.46,14219.12
2017-05-26,13.847391304347827,12408.894999999999,9628.78,13908.2
2017-05-27,16.312916666666666,11013.910000000002,9504.44,12456.0
2017-05-28,17.29625,10786.480416666667,9056.83,12257.14
2017-05-29,13.065,11401.623333333335,9017.91,13178.58
2017-05-30,13.85125,12381.691666666666,9160.31,14048.4
2017-05-31,16.111250000000002,12765.467499999999,9829.64,14479.06
2017-06-01,18.53,12655.425000000001,9616.46,14470.41
2017-06-02,16.60125,12227.857083333334,9818.67,13541.24
2017-06-03,15.305454545454545,11166.254583333333,9564.79,12599.42
2017-06-04,15.157499999999999,11199.18,9322.93,13245.81
2017-06-05,14.157916666666665,12820.311666666666,10051.79,14503.23
2017-06-06,10.425416666666667,12778.205,10047.69,14437.48
2017-06-07,15.82,12270.161666666667,9712.54,13984.22
2017-06-08,16.201666666666664,12541.525,9783.7,14301.16
2017-06-09,18.305416666666666,12752.440416666666,9812.87,14542.33
2017-06-10,22.285,12746.015,10187.0,15035.12
2017-06-11,26.08375,14650.943333333335,10493.79,18885.35
2017-06-12,27.866249999999997,18283.9175,12922.35,23087.15
2017-06-13,27.96083333333333,19236.843333333334,14539.06,23717.23
2017-06-14,23.664347826086956,15776.804166666667,12524.8,18156.16
2017-06-15,19.038695652173914,13686.176249999999,11285.06,15743.1
2017-06-16,17.665416666666665,13390.691250000002,10907.84,15148.44
2017-06-17,19.8325,12723.500833333334,10579.16,14303.04
2017-06-18,24.014347826086958,14395.809583333334,11066.2,17694.58
2017-06-19,24.277916666666666,17104.99583333333,12827.39,20598.48
2017-06-20,24.363333333333333,16475.145,13272.31,19411.12
2017-06-21,22.17375,15501.740833333335,12229.87,18424.34
2017-06-22,22.64375,15286.129583333333,11745.16,18554.82
2017-06-23,25.122083333333332,16845.330833333333,12525.02,20387.29
2017-06-24,25.14,15830.716666666667,13324.82,18215.33
2017-06-25,22.266666666666666,14086.63,11872.4,16405.17
2017-06-26,20.090416666666666,14382.128750000002,11103.72,17098.63
2017-06-27,17.363333333333333,13895.265,11085.46,15907.63
2017-06-28,18.944166666666664,13653.387499999999,10927.53,15916.81
2017-06-29,21.272173913043478,14245.447083333333,11144.36,16506.94
2017-06-30,23.17375,15680.118333333334,11681.62,19661.61
2017-07-01,24.173333333333332,15583.209583333335,12058.58,18326.84
2017-07-02,25.7075,15785.726666666667,12685.34,19127.88
2017-07-03,24.217916666666667,16294.44375,13310.68,19535.74
2017-07-04,22.482083333333335,14281.8575,12046.32,16906.65
2017-07-05,22.79625,15296.845833333333,11319.75,19018.6
2017-07-06,21.460416666666664,15237.635,12268.09,17727.93
2017-07-07,19.607083333333332,14627.7525,12422.52,16394.73
2017-07-08,22.933333333333334,14487.71,11237.62,17631.49
2017-07-09,22.235416666666666,13836.055833333334,11503.81,16777.9
2017-07-10,23.718333333333334,15943.714999999998,11828.33,19478.45
2017-07-11,24.152916666666666,17073.32458333333,13504.23,20207.03
2017-07-12,24.062083333333334,17956.872916666667,13800.74,21501.45
2017-07-13,22.344166666666666,15915.42,12456.64,18577.43
2017-07-14,16.585416666666667,13576.760416666666,11409.73,15100.6
2017-07-15,22.09583333333333,13573.424166666666,11052.03,16200.85
2017-07-16,24.47,14777.288333333332,11032.46,18756.82
2017-07-17,24.285,17356.524583333336,12915.0,21079.82
2017-07-18,25.692083333333333,18180.064583333333,13910.61,21734.38
2017-07-19,27.31041666666667,19114.244583333333,14457.02,23358.36
2017-07-20,25.592173913043478,19314.974583333333,14593.23,23343.37
2017-07-21,26.029583333333335,18751.330833333333,14618.63,22728.99
2017-07-22,24.340869565217393,16405.514166666668,13585.51,18889.56
2017-07-23,23.447916666666668,14441.459583333335,12750.71,16220.06
2017-07-24,16.007083333333334,13843.181666666665,11590.23,15452.91
2017-07-25,16.306250000000002,13316.88375,11091.36,14687.5
2017-07-26,19.63625,13752.840833333334,10075.68,16745.51
2017-07-27,19.794999999999998,14334.577916666667,11472.79,16141.8
2017-07-28,22.56958333333333,15552.925416666667,12015.17,18660.74
2017-07-29,20.002173913043478,12679.3775,11148.15,13889.21
2017-07-30,20.270833333333332,12677.182083333333,10750.76,15400.3
2017-07-31,22.731666666666666,15373.634583333333,11337.5,19530.0
2017-08-01,24.745416666666667,17273.615,12734.95,21450.25
2017-08-02,21.96291666666667,17240.055,13746.15,20858.22
2017-08-03,23.331739130434784,17008.22625,13144.39,20979.35
2017-08-04,24.08375,17078.35625,13423.65,20482.79
2017-08-05,22.927083333333332,15032.71875,13075.91,16670.67
2017-08-06,20.30333333333333,12884.203333333333,11527.48,14865.49
2017-08-07,18.234166666666667,14090.819166666666,10918.12,16132.2
2017-08-08,20.72041666666667,14200.366666666667,10820.4,16424.1
2017-08-09,21.92125,15053.508333333333,11754.38,18521.91
2017-08-10,23.15041666666667,16122.690416666666,12386.32,19814.68
2017-08-11,22.500416666666666,15688.5025,12718.82,18355.74
2017-08-12,21.08913043478261,14109.911666666667,12117.2,16000.41
2017-08-13,23.920833333333334,14878.793749999999,12509.75,17882.63
2017-08-14,21.60375,15386.33,11923.99,18219.94
2017-08-15,22.011666666666667,15772.142083333332,12852.0,17972.55
2017-08-16,23.20875,16199.926666666666,12873.11,19396.93
2017-08-17,21.238333333333333,15029.187083333332,12085.2,18096.99
2017-08-18,23.862727272727273,15749.650833333333,11795.27,18153.42
2017-08-19,25.80125,16040.975416666668,13508.86,18693.83
2017-08-20,23.467916666666667,14670.167083333334,12053.46,17498.31
2017-08-21,23.354583333333334,16213.862916666667,11711.33,20025.09
2017-08-22,26.075416666666666,18189.802916666667,13576.17,22573.31
2017-08-23,23.110833333333332,16838.62125,13237.64,19162.1
2017-08-24,19.229583333333334,14638.614583333334,11861.72,17320.77
2017-08-25,18.886666666666667,13885.63125,11600.52,15629.16
2017-08-26,17.24083333333333,12148.563750000001,10518.78,13964.44
2017-08-27,17.65041666666667,11926.511666666667,9933.18,14346.56
2017-08-28,17.98375,13290.054583333333,10353.69,15570.81
2017-08-29,15.379166666666668,13348.86125,10783.2,15171.19
2017-08-30,18.402916666666666,13425.3275,11185.02,15426.38
2017-08-31,18.62391304347826,13549.23375,10710.46,15557.94
2017-09-01,14.5625,12201.145833333334,9829.17,13872.77
2017-09-02,13.833333333333334,11100.33375,9687.1,12960.32
2017-09-03,13.5625,11538.89875,9507.22,13196.54
2017-09-04,20.1575,11881.232083333334,9610.24,14871.32
2017-09-05,23.01875,15237.932083333333,11237.86,18842.95
2017-09-06,17.96708333333333,14758.884166666665,11921.97,16864.13
2017-09-07,17.851666666666667,13755.875833333334,11369.83,15658.95
2017-09-08,16.205833333333334,12814.985833333332,10397.43,14547.43
2017-09-09,15.117916666666666,11620.402083333334,9872.52,13465.19
2017-09-10,15.78,11644.40375,9982.15,14128.63
2017-09-11,17.10625,13008.498749999999,10078.68,15746.56
2017-09-12,18.979166666666668,13533.3525,10163.4,16493.55
2017-09-13,20.57478260869565,14156.847916666666,11152.88,16977.37
2017-09-14,22.35375,15304.616666666667,11750.6,17997.57
2017-09-15,22.845,15611.42375,12514.48,18118.2
2017-09-16,21.525833333333335,14211.254166666666,11906.35,16652.42
2017-09-17,21.6975,13955.514583333332,11708.43,16982.17
2017-09-18,20.072916666666668,14847.533333333333,11894.55,16984.0
2017-09-19,20.79125,14435.835416666667,11818.45,16348.9
2017-09-20,22.41208333333333,14718.362916666667,11627.4,16852.19
2017-09-21,21.941666666666666,14122.914583333333,11522.45,15984.24
2017-09-22,20.886666666666667,13264.350833333332,10582.98,15073.11
2017-09-23,22.842916666666667,13132.078333333333,10799.63,15678.08
2017-09-24,23.682083333333335,14029.905,10554.32,18234.74
2017-09-25,24.93041666666667,16392.763750000002,12102.24,20277.24
2017-09-26,23.4725,16461.18875,12548.92,20155.12
2017-09-27,23.563478260869566,16974.44916666667,12541.98,20960.99
2017-09-28,20.86625,15091.3975,12257.23,16287.56
2017-09-29,13.45125,12346.907916666665,10315.43,14185.71
2017-09-30,11.17782608695652,11643.54625,9441.4,13294.6
2017-10-01,11.887083333333335,11008.622916666667,9482.12,13767.7
2017-10-02,12.222083333333332,12315.095833333333,9462.67,14946.99
2017-10-03,13.592083333333333,12505.496666666666,10074.06,14957.14
2017-10-04,16.312916666666666,12817.469583333334,10349.84,15427.11
2017-10-05,21.4325,13644.479166666666,10722.92,16321.37
2017-10-06,17.784583333333334,13288.969166666668,10752.96,15040.12
2017-10-07,19.397916666666667,12491.7525,10074.78,14677.52
2017-10-08,22.529583333333335,13321.569583333332,10524.04,15874.79
